iter	Accuracy	MultiClass
142	1	0.03860343121
143	1	0.03812444837
144	1	0.03763671559
145	1	0.03710451091
146	1	0.03661269799
147	1	0.0359794239
148	1	0.03553756098
149	1	0.03518867345
150	1	0.03468082444
151	1	0.03440873038
152	1	0.03402319623
153	1	0.03373475416
154	1	0.03339199399
155	1	0.03300479798
156	1	0.03268726547
157	1	0.0322558251
158	1	0.03177710378
159	1	0.0313373077
160	1	0.03084891141
161	1	0.0306091019
162	1	0.03020365367
163	1	0.02977931121
164	1	0.02949770362
165	1	0.02907260895
166	1	0.02865836223
167	1	0.02829977651
168	1	0.02796319833
169	1	0.02766799978
170	1	0.0273401311
171	1	0.02704340048
172	1	0.02675806995
173	1	0.0264510896
174	1	0.02616205179
175	1	0.02588981183
176	1	0.02558153269
177	1	0.02529301324
178	1	0.02502109539
179	1	0.02475493919
180	1	0.02457230711
181	1	0.02432943813
182	1	0.02415418711
183	1	0.02389361254
184	1	0.02364586586
185	1	0.02350695984
186	1	0.02326736801
187	1	0.02310816375
188	1	0.02286640537
189	1	0.02264826159
190	1	0.02242580087
191	1	0.02222691357
192	1	0.02201513452
193	1	0.02182521786
194	1	0.02160756377
195	1	0.02143746653
196	1	0.02129946975
197	1	0.02106759224
198	1	0.02092609719
199	1	0.0207554751
200	1	0.02056398849
201	1	0.02038380566
202	1	0.02019059615
203	1	0.01999971646
204	1	0.01979945712
205	1	0.01962729672
206	1	0.01945592878
207	1	0.01929749456
208	1	0.01911438915
209	1	0.01899766577
210	1	0.01887737331
211	1	0.01875916941
212	1	0.01857775713
213	1	0.01842629986
214	1	0.01828320199
215	1	0.01812986631
216	1	0.01794210282
217	1	0.01784955337
218	1	0.01771010755
219	1	0.0175671487
220	1	0.0174175818
221	1	0.01727390484
222	1	0.01714175395
223	1	0.01701610528
224	1	0.01692186938
225	1	0.01678469503
226	1	0.01670505675
227	1	0.01657646982
228	1	0.01643757512
229	1	0.01630302643
230	1	0.01618890521
231	1	0.0160508796
232	1	0.01595347344
233	1	0.01582570587
234	1	0.01569616708
235	1	0.01558861706
236	1	0.01546775163
237	1	0.01535371653
238	1	0.01527391678
239	1	0.01517465776
240	1	0.01505129575
241	1	0.01495188941
242	1	0.01485065268
243	1	0.01475510804
244	1	0.01466579045
245	1	0.01455685401
246	1	0.01446657974
247	1	0.01438897075
248	1	0.01430917782
249	1	0.01419930822
250	1	0.01413396651
